country,year,nitrous_oxide,government_expenditure_on_education,forest_area,agricultural_land,total_population,population_growth,renewable_energy_consumption,GDP,inflation,renewable_electricity
Iraq,1992,3495.306115,,,,,,,,,
Iraq,1991,2820.650188,,,,,,,,,
Iraq,1990,4152.232661,,,,,,,,,
Jamaica,2020,409.694785,,,,,,,,,
Jamaica,2019,439.386471,,,,,,,,,
Jamaica,2018,428.422357,,,,,,,,,
Jamaica,2017,419.956643,,,,,,,,,
Jamaica,2016,414.139529,,,,,,,,,
Jamaica,2015,405.264015,,,,,,,,,
Jamaica,2014,422.589711,,,,,,,,,
Jamaica,2013,422.402206,,,,,,,,,
Jamaica,2012,428.882501,,,,,,,,,
Jamaica,2011,413.891796,,,,,,,,,
Jamaica,2010,412.914892,,,,,,,,,
Jamaica,2009,416.370649,,,,,,,,,
Jamaica,2008,425.278606,,,,,,,,,
Jamaica,2007,425.673763,,,,,,,,,
Jamaica,2006,444.90092,,,,,,,,,
Jamaica,2005,525.111277,,,,,,,,,
Jamaica,2004,541.821602,,,,,,,,,
Jamaica,2003,555.124127,,,,,,,,,
Jamaica,2002,529.229052,,,,,,,,,
Jamaica,2001,530.462377,,,,,,,,,
Jamaica,2000,536.005101,,,,,,,,,
Jamaica,1999,528.165663,,,,,,,,,
Jamaica,1998,516.125025,,,,,,,,,
Jamaica,1997,513.650187,,,,,,,,,
Jamaica,1996,511.439549,,,,,,,,,
Jamaica,1995,511.454511,,,,,,,,,
Jamaica,1994,503.978,,,,,,,,,
Jamaica,1993,497.185089,,,,,,,,,
Jamaica,1992,483.940778,,,,,,,,,
Jamaica,1991,486.797067,,,,,,,,,
Jamaica,1990,476.089955,,,,,,,,,
Marshall Islands,2020,0.699535,,,,,,,,,
Marshall Islands,2019,0.699535,,,,,,,,,
Marshall Islands,2018,0.699535,,,,,,,,,
Marshall Islands,2017,0.699535,,,,,,,,,
Marshall Islands,2016,0.699535,,,,,,,,,
Marshall Islands,2015,0.699535,,,,,,,,,
Marshall Islands,2014,0.695722,,,,,,,,,
Marshall Islands,2013,0.691909,,,,,,,,,
Marshall Islands,2012,0.688096,,,,,,,,,
Marshall Islands,2011,0.684283,,,,,,,,,
Marshall Islands,2010,0.68047,,,,,,,,,
Marshall Islands,2009,0.678515,,,,,,,,,
Marshall Islands,2008,0.676559,,,,,,,,,
Marshall Islands,2007,0.674604,,,,,,,,,
Marshall Islands,2006,0.672649,,,,,,,,,
Marshall Islands,2005,0.670693,,,,,,,,,
Marshall Islands,2004,0.666,,,,,,,,,
Marshall Islands,2003,0.661307,,,,,,,,,
Marshall Islands,2002,0.656615,,,,,,,,,
Marshall Islands,2001,0.651922,,,,,,,,,
Marshall Islands,2000,0.647229,,,,,,,,,
Marshall Islands,1999,0.638603,,,,,,,,,
Marshall Islands,1998,0.629976,,,,,,,,,
Marshall Islands,1997,0.62135,,,,,,,,,
Marshall Islands,1996,0.612724,,,,,,,,,
Marshall Islands,1995,0.604098,,,,,,,,,
Marshall Islands,1994,0.594975,,,,,,,,,
Marshall Islands,1993,0.585853,,,,,,,,,
Marshall Islands,1992,0.57673,,,,,,,,,
Marshall Islands,1991,0.567607,,,,,,,,,
Marshall Islands,1990,0.558485,,,,,,,,,
Mongolia,2020,14245.8522,,,,,,,,,
Mongolia,2019,14729.31093,,,,,,,,,
Mongolia,2018,13974.91505,,,,,,,,,
Mongolia,2017,14021.56978,,,,,,,,,
Mongolia,2016,13489.17871,,,,,,,,,
Mongolia,2015,13033.67983,,,,,,,,,
Mongolia,2014,12274.3207,,,,,,,,,
Mongolia,2013,11329.38577,,,,,,,,,
Mongolia,2012,11025.50243,,,,,,,,,
Mongolia,2011,10315.8197,,,,,,,,,
Mongolia,2010,9415.927969,,,,,,,,,
Mongolia,2009,10710.78934,,,,,,,,,
Mongolia,2008,10688.23472,,,,,,,,,
Mongolia,2007,10598.09949,,,,,,,,,
Mongolia,2006,9801.327063,,,,,,,,,
Mongolia,2005,9199.230236,,,,,,,,,
Mongolia,2004,8758.912956,,,,,,,,,
Mongolia,2003,8878.330477,,,,,,,,,
Mongolia,2002,8828.809997,,,,,,,,,
Mongolia,2001,9518.135917,,,,,,,,,
Mongolia,2000,10405.36524,,,,,,,,,
Mongolia,1999,10209.99924,,,,,,,,,
Mongolia,1998,10039.12643,,,,,,,,,
Mongolia,1997,9965.421434,,,,,,,,,
Mongolia,1996,9528.561832,,,,,,,,,
Mongolia,1995,9240.192631,,,,,,,,,
Mongolia,1994,8928.480972,,,,,,,,,
Mongolia,1993,9049.382714,,,,,,,,,
Mongolia,1992,9116.298455,,,,,,,,,
Mongolia,1991,9183.854796,,,,,,,,,
Mongolia,1990,9019.514938,,,,,,,,,
Panama,2020,1253.661076,,,,,,,,,
Panama,2019,1254.216177,,,,,,,,,
Panama,2018,1245.280878,,,,,,,,,
Panama,2017,1231.417379,,,,,,,,,
Panama,2016,1230.517481,,,,,,,,,
Panama,2015,1260.103382,,,,,,,,,
Panama,2014,1273.703706,,,,,,,,,
Panama,2013,1367.201031,,,,,,,,,
Panama,2012,1339.656955,,,,,,,,,
Panama,2011,1267.100279,,,,,,,,,
Panama,2010,1260.794804,,,,,,,,,
Panama,2009,1235.317882,,,,,,,,,
Panama,2008,1205.45756,,,,,,,,,
Panama,2007,1147.889438,,,,,,,,,
Panama,2006,1186.731917,,,,,,,,,
Panama,2005,1158.868395,,,,,,,,,
Panama,2004,1143.084276,,,,,,,,,
Panama,2003,1173.042757,,,,,,,,,
Panama,2002,1142.515238,,,,,,,,,
Panama,2001,1139.833519,,,,,,,,,
Panama,2000,1031.4988,,,,,,,,,
Panama,1999,1051.786333,,,,,,,,,
Panama,1998,1082.722667,,,,,,,,,
Panama,1997,1049.4404,,,,,,,,,
Panama,1996,1131.637933,,,,,,,,,
Panama,1995,1085.402067,,,,,,,,,
Panama,1994,1092.4362,,,,,,,,,
Panama,1993,1128.025955,,,,,,,,,
Panama,1992,1102.46011,,,,,,,,,
Panama,1991,1036.201265,,,,,,,,,
Panama,1990,1046.26762,,,,,,,,,
Syrian Arab Republic,2020,3263.58976,,,,,,,,,
Syrian Arab Republic,2019,3189.318019,,,,,,,,,
Syrian Arab Republic,2018,2624.211478,,,,,,,,,
Syrian Arab Republic,2017,2698.907337,,,,,,,,,
Syrian Arab Republic,2016,3102.160997,,,,,,,,,
Syrian Arab Republic,2015,3190.706456,,,,,,,,,
Syrian Arab Republic,2014,3375.790239,,,,,,,,,
Syrian Arab Republic,2013,3515.887623,,,,,,,,,
Syrian Arab Republic,2012,4220.996607,,,,,,,,,
Syrian Arab Republic,2011,4445.094391,,,,,,,,,
Syrian Arab Republic,2010,4011.137775,,,,,,,,,
Syrian Arab Republic,2009,4831.828555,,,,,,,,,
Syrian Arab Republic,2008,5196.534136,,,,,,,,,
Syrian Arab Republic,2007,5635.072516,,,,,,,,,
Syrian Arab Republic,2006,5620.395096,,,,,,,,,
Syrian Arab Republic,2005,5282.379877,,,,,,,,,
Syrian Arab Republic,2004,4738.06802,,,,,,,,,
Syrian Arab Republic,2003,4583.255763,,,,,,,,,
Syrian Arab Republic,2002,4247.711306,,,,,,,,,
Syrian Arab Republic,2001,3885.334849,,,,,,,,,
Syrian Arab Republic,2000,4215.665392,,,,,,,,,
Syrian Arab Republic,1999,4312.99273,,,,,,,,,
Syrian Arab Republic,1998,4360.841069,,,,,,,,,
Syrian Arab Republic,1997,4205.524407,,,,,,,,,
Syrian Arab Republic,1996,4157.186145,,,,,,,,,
Syrian Arab Republic,1995,4098.304483,,,,,,,,,
Syrian Arab Republic,1994,3807.700002,,,,,,,,,
Syrian Arab Republic,1993,3551.526521,,,,,,,,,
Syrian Arab Republic,1992,3671.04744,,,,,,,,,
Syrian Arab Republic,1991,3621.265558,,,,,,,,,
Syrian Arab Republic,1990,3733.247477,,,,,,,,,
Aruba,2020,,,,,,,,,,
Aruba,2019,,,,,,,,,,
Aruba,2018,,,,,,,,,,
Aruba,2017,,,,,,,,,,
Aruba,2016,,5.49105978012085,,,,,,,,
Aruba,2015,,5.88782978057861,,,,,,,,
Aruba,2014,,5.85084009170532,,,,,,,,
Aruba,2013,,6.44277000427246,,,,,,,,
Aruba,2012,,6.34758996963501,,,,,,,,
Aruba,2011,,5.91438007354736,,,,,,,,
Aruba,2010,,6.75098991394043,,,,,,,,
Aruba,2009,,5.79777002334595,,,,,,,,
Aruba,2008,,4.82732009887695,,,,,,,,
Aruba,2007,,4.70252990722656,,,,,,,,
Aruba,2006,,,,,,,,,,
Aruba,2005,,4.62369012832642,,,,,,,,
Aruba,2004,,4.3571400642395,,,,,,,,
Aruba,2003,,,,,,,,,,
Aruba,2002,,4.87177991867065,,,,,,,,
Aruba,2001,,4.79850006103516,,,,,,,,
Aruba,2000,,4.71536016464233,,,,,,,,
Aruba,1999,,4.39526987075806,,,,,,,,
Aruba,1998,,4.76316022872925,,,,,,,,
Aruba,1997,,,,,,,,,,
Aruba,1996,,,,,,,,,,
Aruba,1995,,,,,,,,,,
Aruba,1994,,,,,,,,,,
Aruba,1993,,,,,,,,,,
Aruba,1992,,,,,,,,,,
Aruba,1991,,,,,,,,,,
Aruba,1990,,,,,,,,,,
American Samoa,2020,,,,,,,,,,
American Samoa,2019,,,,,,,,,,
American Samoa,2018,,,,,,,,,,
American Samoa,2017,,,,,,,,,,
American Samoa,2016,,,,,,,,,,
American Samoa,2015,,,,,,,,,,
American Samoa,2014,,,,,,,,,,
American Samoa,2013,,,,,,,,,,
American Samoa,2012,,,,,,,,,,
American Samoa,2011,,,,,,,,,,
American Samoa,2010,,,,,,,,,,
American Samoa,2009,,,,,,,,,,
American Samoa,2008,,,,,,,,,,
American Samoa,2007,,,,,,,,,,
American Samoa,2006,,14.7170495986938,,,,,,,,
American Samoa,2005,,,,,,,,,,
American Samoa,2004,,,,,,,,,,
American Samoa,2003,,,,,,,,,,
American Samoa,2002,,,,,,,,,,
American Samoa,2001,,,,,,,,,,
American Samoa,2000,,,,,,,,,,
American Samoa,1999,,,,,,,,,,
American Samoa,1998,,,,,,,,,,
American Samoa,1997,,,,,,,,,,
American Samoa,1996,,,,,,,,,,
American Samoa,1995,,,,,,,,,,
American Samoa,1994,,,,,,,,,,
American Samoa,1993,,,,,,,,,,
American Samoa,1992,,,,,,,,,,
American Samoa,1991,,,,,,,,,,
American Samoa,1990,,,,,,,,,,
Bosnia and Herzegovina,2020,,,,,,,,,,
Bosnia and Herzegovina,2019,,,,,,,,,,
Bosnia and Herzegovina,2018,,,,,,,,,,
Bosnia and Herzegovina,2017,,,,,,,,,,
Bosnia and Herzegovina,2016,,,,,,,,,,
Bosnia and Herzegovina,2015,,,,,,,,,,
Bosnia and Herzegovina,2014,,,,,,,,,,
Bosnia and Herzegovina,2013,,,,,,,,,,
Bosnia and Herzegovina,2012,,,,,,,,,,
Bosnia and Herzegovina,2011,,,,,,,,,,
Bosnia and Herzegovina,2010,,,,,,,,,,
Bosnia and Herzegovina,2009,,,,,,,,,,
Bosnia and Herzegovina,2008,,,,,,,,,,
Bosnia and Herzegovina,2007,,,,,,,,,,
Bosnia and Herzegovina,2006,,,,,,,,,,
Bosnia and Herzegovina,2005,,,,,,,,,,
Bosnia and Herzegovina,2004,,,,,,,,,,
Bosnia and Herzegovina,2003,,,,,,,,,,
Bosnia and Herzegovina,2002,,,,,,,,,,
Bosnia and Herzegovina,2001,,,,,,,,,,
Bosnia and Herzegovina,2000,,,,,,,,,,
Bosnia and Herzegovina,1999,,,,,,,,,,
Bosnia and Herzegovina,1998,,,,,,,,,,
Bosnia and Herzegovina,1997,,,,,,,,,,
Bosnia and Herzegovina,1996,,,,,,,,,,
Bosnia and Herzegovina,1995,,,,,,,,,,
Bosnia and Herzegovina,1994,,,,,,,,,,
Bosnia and Herzegovina,1993,,,,,,,,,,
Bosnia and Herzegovina,1992,,,,,,,,,,
Bosnia and Herzegovina,1991,,,,,,,,,,
Bosnia and Herzegovina,1990,,,,,,,,,,
Central African Republic,2020,,2.14468050003052,,,,,,,,
Central African Republic,2019,,1.76792073249817,,,,,,,,
Central African Republic,2018,,1.56587600708008,,,,,,,,
Central African Republic,2017,,1.75365018844604,,,,,,,,
Central African Republic,2016,,1.75408899784088,,,,,,,,
Central African Republic,2015,,1.91022861003876,,,,,,,,
Central African Republic,2014,,2.22015333175659,,,,,,,,
Central African Republic,2013,,2.6382143497467,,,,,,,,
Central African Republic,2012,,1.98034727573395,,,,,,,,
Central African Republic,2011,,1.10792005062103,,,,,,,,
Central African Republic,2010,,1.11760997772217,,,,,,,,
Central African Republic,2009,,1.25458002090454,,,,,,,,
Central African Republic,2008,,1.29000997543335,,,,,,,,
Central African Republic,2007,,1.31332004070282,,,,,,,,
Central African Republic,2006,,1.41506004333496,,,,,,,,
Central African Republic,2005,,1.65222001075745,,,,,,,,
Central African Republic,2004,,1.6245299577713,,,,,,,,
Central African Republic,2003,,1.53980004787445,,,,,,,,
Central African Republic,2002,,1.5195699930191,,,,,,,,
Central African Republic,2001,,,,,,,,,,
Central African Republic,2000,,1.61265003681183,,,,,,,,
Central African Republic,1999,,1.69001996517181,,,,,,,,
Central African Republic,1998,,,,,,,,,,
Central African Republic,1997,,,,,,,,,,
Central African Republic,1996,,,,,,,,,,
Central African Republic,1995,,,,,,,,,,
Central African Republic,1994,,,,,,,,,,
Central African Republic,1993,,,,,,,,,,
Central African Republic,1992,,,,,,,,,,
Central African Republic,1991,,2.27630996704102,,,,,,,,
Central African Republic,1990,,2.2441999912262,,,,,,,,
Ecuador,2020,,4.11401987075806,,,,,,,,
Ecuador,2019,,4.22565984725952,,,,,,,,
Ecuador,2018,,4.62145519256592,,,,,,,,
Ecuador,2017,,4.6142578125,,,,,,,,
Ecuador,2016,,4.36274814605713,,,,,,,,
Ecuador,2015,,4.99870014190674,,,,,,,,
Ecuador,2014,,5.26099014282227,,,,,,,,
Ecuador,2013,,5.00464010238647,,,,,,,,
Ecuador,2012,,4.64307022094727,,,,,,,,
Ecuador,2011,,4.72689008712769,,,,,,,,
Ecuador,2010,,4.50743007659912,,,,,,,,
Ecuador,2009,,4.34242010116577,,,,,,,,
Ecuador,2008,,,,,,,,,,
Ecuador,2007,,,,,,,,,,
Ecuador,2006,,,,,,,,,,
Ecuador,2005,,,,,,,,,,
Ecuador,2004,,,,,,,,,,
Ecuador,2003,,,,,,,,,,
Ecuador,2002,,,,,,,,,,
Ecuador,2001,,,,,,,,,,
Ecuador,2000,,1.15093004703522,,,,,,,,
Ecuador,1999,,1.54734003543854,,,,,,,,
Ecuador,1998,,2.19536995887756,,,,,,,,
Ecuador,1997,,,,,,,,,,
Ecuador,1996,,,,,,,,,,
Ecuador,1995,,1.99764001369476,,,,,,,,
Ecuador,1994,,,,,,,,,,
Ecuador,1993,,,,,,,,,,
Ecuador,1992,,,,,,,,,,
Ecuador,1991,,,,,,,,,,
Ecuador,1990,,,,,,,,,,
"Gambia, The",2020,,2.88734579086304,,,,,,,,
"Gambia, The",2019,,2.65492939949036,,,,,,,,
"Gambia, The",2018,,2.36543989181519,,,,,,,,
"Gambia, The",2017,,2.45919442176819,,,,,,,,
"Gambia, The",2016,,2.0244300365448,,,,,,,,
"Gambia, The",2015,,2.16002988815308,,,,,,,,
"Gambia, The",2014,,2.23094010353088,,,,,,,,
"Gambia, The",2013,,1.81839001178741,,,,,,,,
"Gambia, The",2012,,2.63756990432739,,,,,,,,
"Gambia, The",2011,,2.50116991996765,,,,,,,,
"Gambia, The",2010,,2.56322002410889,,,,,,,,
"Gambia, The",2009,,1.90813994407654,,,,,,,,
"Gambia, The",2008,,2.18129992485046,,,,,,,,
"Gambia, The",2007,,0.816860020160675,,,,,,,,
"Gambia, The",2006,,0.751630008220673,,,,,,,,
"Gambia, The",2005,,0.691879987716675,,,,,,,,
"Gambia, The",2004,,0.622470021247864,,,,,,,,
"Gambia, The",2003,,1.36337995529175,,,,,,,,
"Gambia, The",2002,,1.44291996955872,,,,,,,,
"Gambia, The",2001,,1.15810000896454,,,,,,,,
"Gambia, The",2000,,1.46587002277374,,,,,,,,
"Gambia, The",1999,,1.56512999534607,,,,,,,,
"Gambia, The",1998,,,,,,,,,,
"Gambia, The",1997,,,,,,,,,,
"Gambia, The",1996,,2.56627988815308,,,,,,,,
"Gambia, The",1995,,2.55356001853943,,,,,,,,
"Gambia, The",1994,,,,,,,,,,
"Gambia, The",1993,,,,,,,,,,
"Gambia, The",1992,,1.16983997821808,,,,,,,,
"Gambia, The",1991,,3.78061008453369,,,,,,,,
"Gambia, The",1990,,2.82583999633789,,,,,,,,
Iraq,2020,,,,,,,,,,
Iraq,2019,,,,,,,,,,
Iraq,2018,,,,,,,,,,
Iraq,2017,,,,,,,,,,
Iraq,2016,,,,,,,,,,
Iraq,2015,,,,,,,,,,
Iraq,2014,,,,,,,,,,
Iraq,2013,,,,,,,,,,
Iraq,2012,,,,,,,,,,
Iraq,2011,,,,,,,,,,
Iraq,2010,,,,,,,,,,
Iraq,2009,,,,,,,,,,
Iraq,2008,,,,,,,,,,
Iraq,2007,,,,,,,,,,
Iraq,2006,,,,,,,,,,
Iraq,2005,,,,,,,,,,
Iraq,2004,,,,,,,,,,
Iraq,2003,,,,,,,,,,
Iraq,2002,,,,,,,,,,
Iraq,2001,,,,,,,,,,
Iraq,2000,,,,,,,,,,
Iraq,1999,,,,,,,,,,
Iraq,1998,,,,,,,,,,
Iraq,1997,,,,,,,,,,
Iraq,1996,,,,,,,,,,
Iraq,1995,,,,,,,,,,
Iraq,1994,,,,,,,,,,
Iraq,1993,,,,,,,,,,
Iraq,1992,,,,,,,,,,
Iraq,1991,,,,,,,,,,
Iraq,1990,,,,,,,,,,
